dataset,method,role,expected_cells,eligible_cells,metric_covered_cells,eligible_missing_metrics,held_cells,invalid_native_cells,frozen_eligible_cells,new_native_cells,complete_seeds,expected_seeds,report_cutoff_utc
DIOR,A,source,4,4,4,0,0,0,4,0,42,1,2026-09-13T16:59:00+00:00
DIOR,AASFOD,ema,12,12,12,0,0,0,0,12,42;43;44,3,2026-09-13T16:59:00+00:00
DIOR,AASFOD,student,12,12,12,0,0,0,0,12,42;43;44,3,2026-09-13T16:59:00+00:00
DIOR,B,ema,12,12,12,0,0,0,12,0,42;43;44,3,2026-09-13T16:59:00+00:00
DIOR,B,student,12,12,12,0,0,0,12,0,42;43;44,3,2026-09-13T16:59:00+00:00
DIOR,B_REG,ema,12,12,12,0,0,0,12,0,42;43;44,3,2026-09-13T16:59:00+00:00
DIOR,C,ema,12,12,12,0,0,0,12,0,42;43;44,3,2026-09-13T16:59:00+00:00
DIOR,C,student,12,12,12,0,0,0,12,0,42;43;44,3,2026-09-13T16:59:00+00:00
DIOR,D,ema,12,12,12,0,0,0,12,0,42;43;44,3,2026-09-13T16:59:00+00:00
DIOR,D,student,12,12,12,0,0,0,12,0,42;43;44,3,2026-09-13T16:59:00+00:00
DIOR,E,ema,12,12,12,0,0,0,12,0,42;43;44,3,2026-09-13T16:59:00+00:00
DIOR,E,student,12,12,12,0,0,0,12,0,42;43;44,3,2026-09-13T16:59:00+00:00
DIOR,F,ema,12,12,12,0,0,0,12,0,42;43;44,3,2026-09-13T16:59:00+00:00
DIOR,F,student,12,12,12,0,0,0,12,0,42;43;44,3,2026-09-13T16:59:00+00:00
DIOR,F_text_only,ema,12,12,12,0,0,0,12,0,42;43;44,3,2026-09-13T16:59:00+00:00
DIOR,F_veto_only,ema,12,12,12,0,0,0,12,0,42;43;44,3,2026-09-13T16:59:00+00:00
DIOR,IRG,ema,12,12,12,0,0,0,12,0,42;43;44,3,2026-09-13T16:59:00+00:00
DIOR,IRG,student,12,12,12,0,0,0,12,0,42;43;44,3,2026-09-13T16:59:00+00:00
DIOR,LPLD,ema,12,12,12,0,0,0,12,0,42;43;44,3,2026-09-13T16:59:00+00:00
DIOR,LPLD,student,12,12,12,0,0,0,12,0,42;43;44,3,2026-09-13T16:59:00+00:00
DIOR,LoRA-CGA,ema,12,12,12,0,0,0,0,12,42;43;44,3,2026-09-13T16:59:00+00:00
DIOR,LoRA-CGA+VLST,ema,12,12,12,0,0,0,0,12,42;43;44,3,2026-09-13T16:59:00+00:00
DIOR,SFUT,ema,12,12,12,0,0,0,12,0,42;43;44,3,2026-09-13T16:59:00+00:00
DIOR,SFUT,student,12,12,12,0,0,0,12,0,42;43;44,3,2026-09-13T16:59:00+00:00
DIOR,SFYOLO,ema,12,12,12,0,0,0,0,12,42;43;44,3,2026-09-13T16:59:00+00:00
DIOR,SFYOLO,student,12,12,12,0,0,0,0,12,42;43;44,3,2026-09-13T16:59:00+00:00
RSAR,A,source,8,8,8,0,0,0,8,0,42,1,2026-09-13T16:59:00+00:00
RSAR,AASFOD,ema,24,24,24,0,0,0,9,15,42;43;44,3,2026-09-13T16:59:00+00:00
RSAR,AASFOD,student,24,24,24,0,0,0,9,15,42;43;44,3,2026-09-13T16:59:00+00:00
RSAR,B,ema,24,24,24,0,0,0,24,0,42;43;44,3,2026-09-13T16:59:00+00:00
RSAR,B,student,24,24,24,0,0,0,24,0,42;43;44,3,2026-09-13T16:59:00+00:00
RSAR,B_REG,ema,24,24,24,0,0,0,0,24,42;43;44,3,2026-09-13T16:59:00+00:00
RSAR,C,ema,24,24,24,0,0,0,24,0,42;43;44,3,2026-09-13T16:59:00+00:00
RSAR,C,student,24,24,24,0,0,0,24,0,42;43;44,3,2026-09-13T16:59:00+00:00
RSAR,D,ema,24,24,24,0,0,0,24,0,42;43;44,3,2026-09-13T16:59:00+00:00
RSAR,D,student,24,24,24,0,0,0,24,0,42;43;44,3,2026-09-13T16:59:00+00:00
RSAR,E,ema,24,24,24,0,0,0,24,0,42;43;44,3,2026-09-13T16:59:00+00:00
RSAR,E,student,24,24,24,0,0,0,24,0,42;43;44,3,2026-09-13T16:59:00+00:00
RSAR,F,ema,24,24,24,0,0,0,24,0,42;43;44,3,2026-09-13T16:59:00+00:00
RSAR,F,student,24,24,24,0,0,0,24,0,42;43;44,3,2026-09-13T16:59:00+00:00
RSAR,F_text_only,ema,24,24,24,0,0,0,19,5,42;43;44,3,2026-09-13T16:59:00+00:00
RSAR,F_veto_only,ema,24,24,24,0,0,0,20,4,42;43;44,3,2026-09-13T16:59:00+00:00
RSAR,IRG,ema,24,22,22,0,0,2,22,0,42;43,3,2026-09-13T16:59:00+00:00
RSAR,IRG,student,24,22,22,0,2,0,22,0,42;43,3,2026-09-13T16:59:00+00:00
RSAR,LPLD,ema,24,22,22,0,0,2,22,0,42;43,3,2026-09-13T16:59:00+00:00
RSAR,LPLD,student,24,22,22,0,2,0,22,0,42;43,3,2026-09-13T16:59:00+00:00
RSAR,LoRA-CGA,ema,24,24,24,0,0,0,0,24,42;43;44,3,2026-09-13T16:59:00+00:00
RSAR,LoRA-CGA+VLST,ema,24,24,24,0,0,0,0,24,42;43;44,3,2026-09-13T16:59:00+00:00
